##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0388,0.0356,0.0352,0.0357,0.0362,0.0341,0.0351,0.0388,0.0362,0.0367,0.0347,,,0.0361,0.0325,0.032,0.0322,0.0323,0.0321,0.0324,0.0352,0.0339,0.0342,0.0315,,,0.0381,0.0356,0.0342,0.0343,0.035,0.0353,0.0362,0.0378,0.0391,0.0386,0.0348
,,,0.0356,0.0376,0.0384,0.0363,0.0353,0.0354,0.0377,0.0381,0.0383,0.0376,0.0376,,,0.0334,0.0348,0.0351,0.0344,0.0314,0.032,0.0347,0.0356,0.035,0.0343,0.0345,,,0.035,0.0383,0.039,0.0398,0.0353,0.0343,0.0384,0.0406,0.0395,0.0381,0.0381
,,,0.0352,0.037,0.0384,0.0357,0.0382,0.0342,0.0398,0.0404,0.0381,0.0364,0.0351,,,0.0319,0.0332,0.0346,0.0322,0.034,0.0317,0.0371,0.037,0.0346,0.0328,0.032,,,0.0342,0.0368,0.0375,0.0361,0.0371,0.0357,0.0406,0.0412,0.038,0.0367,0.0363
,,0.0381,0.0361,0.0359,0.0386,0.038,0.0392,0.0461,0.0371,,,,,,0.0351,0.0323,0.0323,0.0356,0.0347,0.0358,0.042,0.0341,,,,,,0.0385,0.0356,0.035,0.0398,0.0385,0.0396,0.0462,0.0377,,,,
,,0.0495,0.0362,0.0367,0.0387,0.0358,0.0377,0.0382,0.0379,,,,,,0.0468,0.0322,0.0331,0.0354,0.0326,0.0342,0.0347,0.035,,,,,,0.0481,0.0341,0.0371,0.0389,0.0368,0.0376,0.0384,0.0385,,,,
,,0.0427,0.036,0.0415,0.0373,0.0368,0.037,0.0379,0.0385,,,,,,0.0395,0.0325,0.0383,0.034,0.0339,0.0337,0.0341,0.0352,,,,,,0.0414,0.0362,0.0432,0.037,0.038,0.0377,0.0382,0.0382,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0378,0.0358,0.035,0.0349,0.0366,0.0339,0.0351,0.0359,0.0354,0.0358,0.0353,,,0.3542,0.2631,0.391,0.2453,0.2592,0.2736,0.2272,0.2515,0.2638,0.3603,0.3463,,,0.2803,0.2493,0.3768,0.3106,0.3521,0.3096,0.2905,0.3283,0.3516,0.2971,0.2869
,,,0.0348,0.037,0.037,0.0356,0.0363,0.0351,0.0393,0.0371,0.0383,0.0366,0.0379,,,0.3635,0.3366,0.3457,0.2699,0.2526,0.3152,0.2497,0.2576,0.2597,0.3681,0.3625,,,0.29,0.3194,0.3216,0.3283,0.3375,0.3027,0.3042,0.3333,0.3373,0.3052,0.298
,,,0.0347,0.0368,0.0385,0.036,0.0382,0.0345,0.0396,0.04,0.037,0.036,0.0357,,,0.3726,0.3151,0.3296,0.2847,0.2716,0.2954,0.2637,0.2672,0.2662,0.3538,0.3557,,,0.2951,0.3003,0.3107,0.3492,0.3432,0.2825,0.327,0.3343,0.3325,0.2942,0.2918
,,0.0375,0.0362,0.036,0.0398,0.0381,0.0389,0.0468,0.036,,,,,,0.3332,0.3517,0.3744,0.3385,0.3353,0.3366,0.3497,0.3129,,,,,,0.2725,0.2871,0.3098,0.2882,0.3252,0.3233,0.3388,0.3139,,,,
,,0.0477,0.0362,0.036,0.0362,0.0359,0.0366,0.0368,0.0368,,,,,,0.3791,0.3605,0.3698,0.3744,0.3405,0.3366,0.3317,0.326,,,,,,0.3107,0.2948,0.3113,0.3133,0.3261,0.3194,0.3227,0.3232,,,,
,,0.042,0.0358,0.0433,0.037,0.0358,0.0366,0.0371,0.0372,,,,,,0.3684,0.3718,0.3617,0.3288,0.3464,0.3329,0.3385,0.3281,,,,,,0.2988,0.3032,0.3033,0.2735,0.3269,0.3174,0.3276,0.3259,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: EveningPlate_2-6-2020; Date Last Saved: 2/6/2020 8:55:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate2"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
