##BLOCKS= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0384,0.0398,0.0356,0.0372,0.0351,0.0388,0.0366,0.0397,0.0401,0.0467,0.0353,,,0.0364,0.0379,0.0331,0.0356,0.0322,0.0365,0.0337,0.0407,0.0392,0.0521,0.0369,,,0.039,0.0416,0.0373,0.0389,0.0364,0.0403,0.0378,0.0465,0.0441,0.0576,0.0398
,,,0.0381,0.0404,0.0348,0.0365,0.0348,0.0366,0.0371,0.0394,0.0393,0.0369,0.0357,,,0.0348,0.0378,0.0314,0.0336,0.0318,0.0337,0.0346,0.0387,0.0396,0.0361,0.033,,,0.0378,0.0418,0.0341,0.0369,0.0356,0.0375,0.0381,0.0434,0.0448,0.0386,0.0368
,,,0.0362,0.037,0.0373,0.037,0.0368,0.0362,0.0361,0.0366,0.0361,0.036,0.0409,,,0.0329,0.0335,0.0339,0.0342,0.0336,0.0334,0.0326,0.033,0.0341,0.0341,0.0441,,,0.0357,0.0366,0.0376,0.0376,0.037,0.0362,0.0356,0.0368,0.0393,0.037,0.0475
,,0.0366,0.038,0.0366,0.0376,0.0384,0.0345,0.0364,0.0369,,,,,,0.0343,0.035,0.034,0.0347,0.0356,0.0311,0.0342,0.0344,,,,,,0.037,0.0387,0.0368,0.0378,0.0383,0.0336,0.0362,0.037,,,,
,,0.0396,0.0381,0.0369,0.0362,0.0386,0.0391,0.0373,0.0404,,,,,,0.0373,0.0354,0.0338,0.033,0.0358,0.036,0.0331,0.0371,,,,,,0.0405,0.0381,0.0367,0.0361,0.0388,0.0396,0.0352,0.0404,,,,
,,0.039,0.0377,0.0363,0.0365,0.0371,0.0379,0.0357,0.0364,,,,,,0.0363,0.0345,0.0337,0.0333,0.033,0.0346,0.0325,0.0327,,,,,,0.039,0.0376,0.0377,0.0357,0.0363,0.0385,0.0351,0.0352,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,730 578 434 ,2,7,96,1,6,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,25,,0.0383,0.0381,0.0354,0.0361,0.0354,0.0384,0.0365,0.0392,0.0459,0.0481,0.0359,,,0.416,0.368,0.2764,0.3591,0.2986,0.2894,0.2891,0.3023,0.3041,0.4257,0.3731,,,0.3184,0.321,0.3512,0.3175,0.3552,0.3546,0.3513,0.3623,0.3732,0.3253,0.2832
,,,0.037,0.0395,0.0353,0.0366,0.0352,0.0374,0.0404,0.0393,0.0389,0.037,0.0361,,,0.418,0.3811,0.2977,0.3491,0.3161,0.3066,0.2925,0.2969,0.299,0.4016,0.3861,,,0.314,0.3255,0.3664,0.3067,0.38,0.3593,0.3438,0.3484,0.3474,0.3024,0.2955
,,,0.0361,0.0366,0.0373,0.0362,0.0367,0.0363,0.0355,0.0361,0.0364,0.0366,0.0409,,,0.4002,0.3998,0.2843,0.3825,0.2965,0.3104,0.2857,0.2966,0.2979,0.408,0.3893,,,0.3031,0.3429,0.3294,0.3354,0.3398,0.355,0.3394,0.339,0.3441,0.3004,0.2957
,,0.0403,0.0379,0.0366,0.0371,0.0376,0.037,0.0357,0.0387,,,,,,0.3762,0.3789,0.3876,0.396,0.3698,0.3339,0.3742,0.3358,,,,,,0.2848,0.2847,0.2873,0.2999,0.3071,0.3407,0.3138,0.2965,,,,
,,0.0386,0.0382,0.0362,0.0355,0.0374,0.039,0.0358,0.0399,,,,,,0.3644,0.391,0.3667,0.4,0.3676,0.3347,0.3749,0.3766,,,,,,0.2778,0.2985,0.2782,0.298,0.3049,0.3359,0.3138,0.3243,,,,
,,0.0388,0.038,0.042,0.0363,0.0371,0.0378,0.0361,0.0363,,,,,,0.3424,0.3476,0.3901,0.4109,0.3596,0.3502,0.3888,0.3508,,,,,,0.2587,0.2629,0.2921,0.3076,0.2974,0.3395,0.3225,0.3049,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: EveningPlate_2-20-2020; Date Last Saved: 2/20/2020 7:44:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" TemperatureToSet=""25"" WaitTemperatureToRise=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate1"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Read: ExperimentNameToRead=""Expt1"" SectionNameToRead=""Plate2"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Open Drawer: Message="""" WaitForDrawToClose=""True"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
